question,participant,sentiment,participant_short,question_short
Q8. Have you ever avoided a physical activity because of how you thought you'd look doing working out?,T Interview.txt,-1.0,T Interview,Q8. Have you ever avoided a physical activity bec...
Q9. Were you involved in any sports or physical activities? How did that shape how you think about exercise now?,T Interview.txt,1.0,T Interview,Q9. Were you involved in any sports or physical a...
Q10. Have you ever signed up for a gym and stopped going? What led to that?,T Interview.txt,-1.0,T Interview,Q10. Have you ever signed up for a gym and stopped...
Q11. When was the last time you thought about going to the gym but didn't end up going?,T Interview.txt,-1.0,T Interview,Q11. When was the last time you thought about goin...
"Q12. If you went to the gym tomorrow, how confident would you be knowing where to start or what to do?",T Interview.txt,2.0,T Interview,"Q12. If you went to the gym tomorrow, how confiden..."
Q13. Do you ever feel like gyms are catered for certain types of people? What gives you that impression?,T Interview.txt,-1.0,T Interview,Q13. Do you ever feel like gyms are catered for ce...
"Q14. When you think about going to the gym, do you picture yourself going alone or with someone? Why?",T Interview.txt,1.0,T Interview,"Q14. When you think about going to the gym, do you..."
"Q15. What is your preference working out alone, taking a group fitness class, or exercising casually with friends?",T Interview.txt,1.0,T Interview,"Q15. What is your preference working out alone, ta..."
"Q16. If something could remove one barrier to getting you into the gym consistently, what would it be?",T Interview.txt,0.0,T Interview,Q16. If something could remove one barrier to gett...
Q17. How would you feel best supported going to the gym?,T Interview.txt,1.0,T Interview,Q17. How would you feel best supported going to th...
Q18. What would you hope to gain from going to the gym?,T Interview.txt,2.0,T Interview,Q18. What would you hope to gain from going to the...
