name,address,latitude,longitude,price,google_maps_url,types
Pure Barre,"53 Bond St, Watertown, MA 02472, USA",42.3622625,-71.1598493,$159,https://maps.google.com/?cid=18000461085750982500&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA,"fitness_center, gym, sports_activity_location, health, point_of_interest, establishment"
F45 Training North End Boston,"99 Blackstone St, Boston, MA 02109, USA",42.3616595,-71.0560041,$170,https://maps.google.com/?cid=3410782846330097482&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA,"gym, fitness_center, sports_activity_location, point_of_interest, health, establishment"
New York Sports Club,"1 Bulfinch Pl, Boston, MA 02114, USA",42.3615804,-71.0609101,$99,https://maps.google.com/?cid=10378746487269982427&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA,"gym, yoga_studio, fitness_center, sports_complex, spa, sports_school, service, sports_club, association_or_organization, health, sports_activity_location, point_of_interest, establishment"
Nonantum Boxing Club,"75 Adams St, Newton, MA 02458, USA",42.3611837,-71.2044707,$90,https://maps.google.com/?cid=6497030695322432541&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA,"gym, sports_coaching, sports_school, sports_complex, sports_activity_location, point_of_interest, health, establishment"
MIT Recreation - Alumni Pool and Wang Fitness Center,"32 Vassar St, Cambridge, MA 02139, USA",42.361164,-71.0901019,University,https://maps.google.com/?cid=17337883745274936732&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA,"swimming_pool, gym, sports_activity_location, health, point_of_interest, establishment"
Beacon Hill Yoga,"1 Grove St 2nd fl, Boston, MA 02114, USA",42.3603909,-71.0685716,$164,https://maps.google.com/?cid=11288167263679180806&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA,"yoga_studio, fitness_center, gym, sports_complex, sports_school, sports_activity_location, health, point_of_interest, establishment"
CrossFit Boston,"100 Holton St, Boston, MA 02135, USA",42.3593855,-71.1386573,$229,https://maps.google.com/?cid=3626086088656222682&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA,"wellness_center, gym, sports_activity_location, consultant, health, point_of_interest, service, establishment"
MIT Recreation - Zesiger Sports and Fitness Center,"120 Vassar St, Cambridge, MA 02139, USA",42.358815,-71.096199,University,https://maps.google.com/?cid=16756688305734115411&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA,"fitness_center, gym, sports_complex, sports_activity_location, health, point_of_interest, establishment"
CorePower Yoga - Newton,"305 Centre St, Newton, MA 02458, USA",42.3579174,-71.1848393,$189,https://maps.google.com/?cid=8156942916757775216&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA,"yoga_studio, fitness_center, sports_school, sports_complex, gym, sports_activity_location, point_of_interest, health, establishment"
Gym Hub,"27 School St, Boston, MA 02108, USA",42.3578488,-71.0590695,personal,https://maps.google.com/?cid=10988651800637397520&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA,"gym, sports_activity_location, point_of_interest, health, establishment"
"NB Fitness Club, LLC","40 Life St, Brighton, MA 02135, USA",42.3570049,-71.1461785,$98,https://maps.google.com/?cid=1660653907489801011&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA,"gym, sports_activity_location, health, point_of_interest, establishment"
Republic Fitness,"Two International Place, International Pl, Boston, MA 02110, USA",42.3564429,-71.0517885,University,https://maps.google.com/?cid=11432528743406517210&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA,"gym, yoga_studio, fitness_center, sports_complex, sports_activity_location, sports_school, point_of_interest, health, service, establishment"
Equinox Franklin Street,"225 Franklin St, Boston, MA 02110, USA",42.3559701,-71.0539553,$275,https://maps.google.com/?cid=4659915286295490155&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA,"gym, health, sports_activity_location, point_of_interest, establishment"
Planet Fitness,"17 Winter St, Boston, MA 02108, USA",42.3559586,-71.0611921,$25,https://maps.google.com/?cid=1301089784490408213&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA,"gym, fitness_center, tanning_studio, spa, sports_activity_location, health, service, point_of_interest, establishment"
B/SPOKE Downtown Boston,"101 Federal St, Boston, MA 02110, USA",42.3550422,-71.0567997,$168,https://maps.google.com/?cid=956631978889510393&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA,"fitness_center, yoga_studio, gym, sports_complex, sports_school, health, sports_activity_location, point_of_interest, service, establishment"
